"Nome","Número na Pokédex","Tipo Primário","Tipo Secundário","Geração","Total de Pontos Base","Estágio de Evolução","Quantidade de Evoluções"
"grimer",88,"poison","N/A","generation-i",325,1,2
"grimer-alola",88,"poison","dark","generation-i",325,1,2
"muk",89,"poison","N/A","generation-i",500,2,2
"muk-alola",89,"poison","dark","generation-i",500,2,2
"shellder",90,"water","N/A","generation-i",305,1,2
"cloyster",91,"water","ice","generation-i",525,2,2
"gastly",92,"ghost","poison","generation-i",310,1,3
"haunter",93,"ghost","poison","generation-i",405,2,3
"gengar",94,"ghost","poison","generation-i",500,3,3
"gengar-mega",94,"ghost","poison","generation-i",600,3,3
"onix",95,"rock","ground","generation-i",385,1,2
"drowzee",96,"psychic","N/A","generation-i",328,1,2
"hypno",97,"psychic","N/A","generation-i",483,2,2
"krabby",98,"water","N/A","generation-i",325,1,2
"kingler",99,"water","N/A","generation-i",475,2,2
"voltorb",100,"electric","N/A","generation-i",330,1,2
"voltorb-hisui",100,"electric","grass","generation-i",330,1,2
"electrode",101,"electric","N/A","generation-i",490,2,2
"electrode-hisui",101,"electric","grass","generation-i",490,2,2
"exeggcute",102,"grass","psychic","generation-i",325,1,2
"exeggutor",103,"grass","psychic","generation-i",530,2,2
"exeggutor-alola",103,"grass","dragon","generation-i",530,2,2
"cubone",104,"ground","N/A","generation-i",320,1,2
"marowak",105,"ground","N/A","generation-i",425,2,2
"marowak-alola",105,"fire","ghost","generation-i",425,2,2
"marowak-totem",105,"fire","ghost","generation-i",425,2,2
"hitmonlee",106,"fighting","N/A","generation-i",455,2,2
"hitmonchan",107,"fighting","N/A","generation-i",455,2,2
"lickitung",108,"normal","N/A","generation-i",385,1,2
"koffing",109,"poison","N/A","generation-i",340,1,2
"weezing",110,"poison","N/A","generation-i",490,2,2
"weezing-galar",110,"poison","fairy","generation-i",490,2,2
"rhyhorn",111,"ground","rock","generation-i",345,1,3
"rhydon",112,"ground","rock","generation-i",485,2,3
"chansey",113,"normal","N/A","generation-i",450,2,3
"tangela",114,"grass","N/A","generation-i",435,1,2
"kangaskhan",115,"normal","N/A","generation-i",490,1,1
"kangaskhan-mega",115,"normal","N/A","generation-i",590,1,1
"horsea",116,"water","N/A","generation-i",295,1,3
"seadra",117,"water","N/A","generation-i",440,2,3
"goldeen",118,"water","N/A","generation-i",320,1,2
"seaking",119,"water","N/A","generation-i",450,2,2
"staryu",120,"water","N/A","generation-i",340,1,2
"starmie",121,"water","psychic","generation-i",520,2,2
"mr-mime",122,"psychic","fairy","generation-i",460,2,3
"mr-mime-galar",122,"ice","psychic","generation-i",460,2,3
"scyther",123,"bug","flying","generation-i",500,1,2
"jynx",124,"ice","psychic","generation-i",455,2,2
"electabuzz",125,"electric","N/A","generation-i",490,2,3
"magmar",126,"fire","N/A","generation-i",495,2,3
"pinsir",127,"bug","N/A","generation-i",500,1,1
"pinsir-mega",127,"bug","flying","generation-i",600,1,1
"tauros",128,"normal","N/A","generation-i",490,1,1
"tauros-paldea-combat-breed",128,"fighting","N/A","generation-i",490,1,1
"tauros-paldea-blaze-breed",128,"fighting","fire","generation-i",490,1,1
"tauros-paldea-aqua-breed",128,"fighting","water","generation-i",490,1,1
"magikarp",129,"water","N/A","generation-i",200,1,2
"gyarados",130,"water","flying","generation-i",540,2,2
"gyarados-mega",130,"water","dark","generation-i",640,2,2
"lapras",131,"water","ice","generation-i",535,1,1
"ditto",132,"normal","N/A","generation-i",288,1,1
"eevee",133,"normal","N/A","generation-i",325,1,2
"eevee-starter",133,"normal","N/A","generation-i",435,1,2
"vaporeon",134,"water","N/A","generation-i",525,2,2
"jolteon",135,"electric","N/A","generation-i",525,2,2
"flareon",136,"fire","N/A","generation-i",525,2,2
"porygon",137,"normal","N/A","generation-i",395,1,3
"omanyte",138,"rock","water","generation-i",355,1,2
"omastar",139,"rock","water","generation-i",495,2,2
"kabuto",140,"rock","water","generation-i",355,1,2
"kabutops",141,"rock","water","generation-i",495,2,2
"aerodactyl",142,"rock","flying","generation-i",515,1,1
"aerodactyl-mega",142,"rock","flying","generation-i",615,1,1
"snorlax",143,"normal","N/A","generation-i",540,2,2
"articuno",144,"ice","flying","generation-i",580,1,1
"articuno-galar",144,"psychic","flying","generation-i",580,1,1
"zapdos",145,"electric","flying","generation-i",580,1,1
"zapdos-galar",145,"fighting","flying","generation-i",580,1,1
"moltres",146,"fire","flying","generation-i",580,1,1
"moltres-galar",146,"dark","flying","generation-i",580,1,1
"dratini",147,"dragon","N/A","generation-i",300,1,3
"dragonair",148,"dragon","N/A","generation-i",420,2,3
"dragonite",149,"dragon","flying","generation-i",600,3,3
"mewtwo",150,"psychic","N/A","generation-i",680,1,1
"mewtwo-mega-x",150,"psychic","fighting","generation-i",780,1,1
"mewtwo-mega-y",150,"psychic","N/A","generation-i",780,1,1
"mew",151,"psychic","N/A","generation-i",600,1,1
"chikorita",152,"grass","N/A","generation-ii",318,1,3
"bayleef",153,"grass","N/A","generation-ii",405,2,3
"meganium",154,"grass","N/A","generation-ii",525,3,3
"cyndaquil",155,"fire","N/A","generation-ii",309,1,3
"quilava",156,"fire","N/A","generation-ii",405,2,3
"typhlosion",157,"fire","N/A","generation-ii",534,3,3
"typhlosion-hisui",157,"fire","ghost","generation-ii",534,3,3
"totodile",158,"water","N/A","generation-ii",314,1,3
"croconaw",159,"water","N/A","generation-ii",405,2,3
"feraligatr",160,"water","N/A","generation-ii",530,3,3
"sentret",161,"normal","N/A","generation-ii",215,1,2
"furret",162,"normal","N/A","generation-ii",415,2,2
"hoothoot",163,"normal","flying","generation-ii",262,1,2
"noctowl",164,"normal","flying","generation-ii",452,2,2
"ledyba",165,"bug","flying","generation-ii",265,1,2
"ledian",166,"bug","flying","generation-ii",390,2,2
"spinarak",167,"bug","poison","generation-ii",250,1,2
"ariados",168,"bug","poison","generation-ii",400,2,2
"crobat",169,"poison","flying","generation-ii",535,3,3
"chinchou",170,"water","electric","generation-ii",330,1,2
"lanturn",171,"water","electric","generation-ii",460,2,2
"pichu",172,"electric","N/A","generation-ii",205,1,3
"cleffa",173,"fairy","N/A","generation-ii",218,1,3
"igglybuff",174,"normal","fairy","generation-ii",210,1,3
"togepi",175,"fairy","N/A","generation-ii",245,1,3
"togetic",176,"fairy","flying","generation-ii",405,2,3
"natu",177,"psychic","flying","generation-ii",320,1,2
"xatu",178,"psychic","flying","generation-ii",470,2,2
"mareep",179,"electric","N/A","generation-ii",280,1,3
"flaaffy",180,"electric","N/A","generation-ii",365,2,3
"ampharos",181,"electric","N/A","generation-ii",510,3,3
"ampharos-mega",181,"electric","dragon","generation-ii",610,3,3
"bellossom",182,"grass","N/A","generation-ii",490,3,3
"marill",183,"water","fairy","generation-ii",250,2,3
"azumarill",184,"water","fairy","generation-ii",420,3,3
"sudowoodo",185,"rock","N/A","generation-ii",410,2,2
"politoed",186,"water","N/A","generation-ii",500,3,3
"hoppip",187,"grass","flying","generation-ii",250,1,3
"skiploom",188,"grass","flying","generation-ii",340,2,3
"jumpluff",189,"grass","flying","generation-ii",460,3,3
"aipom",190,"normal","N/A","generation-ii",360,1,2
"sunkern",191,"grass","N/A","generation-ii",180,1,2
"sunflora",192,"grass","N/A","generation-ii",425,2,2
"yanma",193,"bug","flying","generation-ii",390,1,2
"wooper",194,"water","ground","generation-ii",210,1,2
"wooper-paldea",194,"poison","ground","generation-ii",210,1,2
"quagsire",195,"water","ground","generation-ii",430,2,2
"espeon",196,"psychic","N/A","generation-ii",525,2,2
"umbreon",197,"dark","N/A","generation-ii",525,2,2
"murkrow",198,"dark","flying","generation-ii",405,1,2
"slowking",199,"water","psychic","generation-ii",490,2,2
"slowking-galar",199,"poison","psychic","generation-ii",490,2,2
"misdreavus",200,"ghost","N/A","generation-ii",435,1,2
"unown",201,"psychic","N/A","generation-ii",336,1,1
"wobbuffet",202,"psychic","N/A","generation-ii",405,2,2
"girafarig",203,"normal","psychic","generation-ii",455,1,2
"pineco",204,"bug","N/A","generation-ii",290,1,2
"forretress",205,"bug","steel","generation-ii",465,2,2
"dunsparce",206,"normal","N/A","generation-ii",415,1,2
"gligar",207,"ground","flying","generation-ii",430,1,2
"steelix",208,"steel","ground","generation-ii",510,2,2
"steelix-mega",208,"steel","ground","generation-ii",610,2,2
"snubbull",209,"fairy","N/A","generation-ii",300,1,2
"granbull",210,"fairy","N/A","generation-ii",450,2,2
"qwilfish",211,"water","poison","generation-ii",440,1,2
"qwilfish-hisui",211,"dark","poison","generation-ii",440,1,2
"scizor",212,"bug","steel","generation-ii",500,2,2
"scizor-mega",212,"bug","steel","generation-ii",600,2,2
"shuckle",213,"bug","rock","generation-ii",505,1,1
"heracross",214,"bug","fighting","generation-ii",500,1,1
"heracross-mega",214,"bug","fighting","generation-ii",600,1,1
"sneasel",215,"dark","ice","generation-ii",430,1,2
"sneasel-hisui",215,"fighting","poison","generation-ii",430,1,2
"teddiursa",216,"normal","N/A","generation-ii",330,1,3
"ursaring",217,"normal","N/A","generation-ii",500,2,3
"slugma",218,"fire","N/A","generation-ii",250,1,2
"magcargo",219,"fire","rock","generation-ii",430,2,2
"swinub",220,"ice","ground","generation-ii",250,1,3
"piloswine",221,"ice","ground","generation-ii",450,2,3
"corsola",222,"water","rock","generation-ii",410,1,2
"corsola-galar",222,"ghost","N/A","generation-ii",410,1,2
"remoraid",223,"water","N/A","generation-ii",300,1,2
"octillery",224,"water","N/A","generation-ii",480,2,2
"delibird",225,"ice","flying","generation-ii",330,1,1
"mantine",226,"water","flying","generation-ii",485,2,2
"skarmory",227,"steel","flying","generation-ii",465,1,1
"houndour",228,"dark","fire","generation-ii",330,1,2
"houndoom",229,"dark","fire","generation-ii",500,2,2
"houndoom-mega",229,"dark","fire","generation-ii",600,2,2
"kingdra",230,"water","dragon","generation-ii",540,3,3
"phanpy",231,"ground","N/A","generation-ii",330,1,2
"donphan",232,"ground","N/A","generation-ii",500,2,2
"porygon2",233,"normal","N/A","generation-ii",515,2,3
"stantler",234,"normal","N/A","generation-ii",465,1,2
"smeargle",235,"normal","N/A","generation-ii",250,1,1
"tyrogue",236,"fighting","N/A","generation-ii",210,1,2
"hitmontop",237,"fighting","N/A","generation-ii",455,2,2
"smoochum",238,"ice","psychic","generation-ii",305,1,2
"elekid",239,"electric","N/A","generation-ii",360,1,3
"magby",240,"fire","N/A","generation-ii",365,1,3
"miltank",241,"normal","N/A","generation-ii",490,1,1
"blissey",242,"normal","N/A","generation-ii",540,3,3
"raikou",243,"electric","N/A","generation-ii",580,1,1
"entei",244,"fire","N/A","generation-ii",580,1,1
"suicune",245,"water","N/A","generation-ii",580,1,1
"larvitar",246,"rock","ground","generation-ii",300,1,3
"pupitar",247,"rock","ground","generation-ii",410,2,3
"tyranitar",248,"rock","dark","generation-ii",600,3,3
"tyranitar-mega",248,"rock","dark","generation-ii",700,3,3
"lugia",249,"psychic","flying","generation-ii",680,1,1
"ho-oh",250,"fire","flying","generation-ii",680,1,1
"celebi",251,"psychic","grass","generation-ii",600,1,1
"treecko",252,"grass","N/A","generation-iii",310,1,3
"grovyle",253,"grass","N/A","generation-iii",405,2,3
"sceptile",254,"grass","N/A","generation-iii",530,3,3
"sceptile-mega",254,"grass","dragon","generation-iii",630,3,3
"torchic",255,"fire","N/A","generation-iii",310,1,3
"combusken",256,"fire","fighting","generation-iii",405,2,3
"blaziken",257,"fire","fighting","generation-iii",530,3,3
"blaziken-mega",257,"fire","fighting","generation-iii",630,3,3
"mudkip",258,"water","N/A","generation-iii",310,1,3
"marshtomp",259,"water","ground","generation-iii",405,2,3
"swampert",260,"water","ground","generation-iii",535,3,3
"swampert-mega",260,"water","ground","generation-iii",635,3,3
"poochyena",261,"dark","N/A","generation-iii",220,1,2
"mightyena",262,"dark","N/A","generation-iii",420,2,2
"zigzagoon",263,"normal","N/A","generation-iii",240,1,3
"zigzagoon-galar",263,"dark","normal","generation-iii",240,1,3
"linoone",264,"normal","N/A","generation-iii",420,2,3
"linoone-galar",264,"dark","normal","generation-iii",420,2,3
"wurmple",265,"bug","N/A","generation-iii",195,1,3
"silcoon",266,"bug","N/A","generation-iii",205,2,3
"beautifly",267,"bug","flying","generation-iii",395,3,3
"cascoon",268,"bug","N/A","generation-iii",205,2,3
"dustox",269,"bug","poison","generation-iii",385,3,3
"lotad",270,"water","grass","generation-iii",220,1,3
"lombre",271,"water","grass","generation-iii",340,2,3
"ludicolo",272,"water","grass","generation-iii",480,3,3
"seedot",273,"grass","N/A","generation-iii",220,1,3
"nuzleaf",274,"grass","dark","generation-iii",340,2,3
"shiftry",275,"grass","dark","generation-iii",480,3,3
"taillow",276,"normal","flying","generation-iii",270,1,2
"swellow",277,"normal","flying","generation-iii",455,2,2
"wingull",278,"water","flying","generation-iii",270,1,2
"pelipper",279,"water","flying","generation-iii",440,2,2
"ralts",280,"psychic","fairy","generation-iii",198,1,3
"kirlia",281,"psychic","fairy","generation-iii",278,2,3
"gardevoir",282,"psychic","fairy","generation-iii",518,3,3
"gardevoir-mega",282,"psychic","fairy","generation-iii",618,3,3
"surskit",283,"bug","water","generation-iii",269,1,2
"masquerain",284,"bug","flying","generation-iii",454,2,2
"shroomish",285,"grass","N/A","generation-iii",295,1,2
"breloom",286,"grass","fighting","generation-iii",460,2,2
"slakoth",287,"normal","N/A","generation-iii",280,1,3
"vigoroth",288,"normal","N/A","generation-iii",440,2,3
"slaking",289,"normal","N/A","generation-iii",670,3,3
"nincada",290,"bug","ground","generation-iii",266,1,2
"ninjask",291,"bug","flying","generation-iii",456,2,2
"shedinja",292,"bug","ghost","generation-iii",236,2,2
"whismur",293,"normal","N/A","generation-iii",240,1,3
"loudred",294,"normal","N/A","generation-iii",360,2,3
"exploud",295,"normal","N/A","generation-iii",490,3,3
"makuhita",296,"fighting","N/A","generation-iii",237,1,2
"hariyama",297,"fighting","N/A","generation-iii",474,2,2
"azurill",298,"normal","fairy","generation-iii",190,1,3
"nosepass",299,"rock","N/A","generation-iii",375,1,2
"skitty",300,"normal","N/A","generation-iii",260,1,2
"delcatty",301,"normal","N/A","generation-iii",400,2,2
"sableye",302,"dark","ghost","generation-iii",380,1,1
"sableye-mega",302,"dark","ghost","generation-iii",480,1,1
"mawile",303,"steel","fairy","generation-iii",380,1,1
"mawile-mega",303,"steel","fairy","generation-iii",480,1,1
"aron",304,"steel","rock","generation-iii",330,1,3
"lairon",305,"steel","rock","generation-iii",430,2,3
"aggron",306,"steel","rock","generation-iii",530,3,3
"aggron-mega",306,"steel","N/A","generation-iii",630,3,3
"meditite",307,"fighting","psychic","generation-iii",280,1,2
"medicham",308,"fighting","psychic","generation-iii",410,2,2
"medicham-mega",308,"fighting","psychic","generation-iii",510,2,2
"electrike",309,"electric","N/A","generation-iii",295,1,2
"manectric",310,"electric","N/A","generation-iii",475,2,2
"manectric-mega",310,"electric","N/A","generation-iii",575,2,2
"plusle",311,"electric","N/A","generation-iii",405,1,1
"minun",312,"electric","N/A","generation-iii",405,1,1
"volbeat",313,"bug","N/A","generation-iii",430,1,1
"illumise",314,"bug","N/A","generation-iii",430,1,1
"roselia",315,"grass","poison","generation-iii",400,2,3
"gulpin",316,"poison","N/A","generation-iii",302,1,2
"swalot",317,"poison","N/A","generation-iii",467,2,2
"carvanha",318,"water","dark","generation-iii",305,1,2
"sharpedo",319,"water","dark","generation-iii",460,2,2
"sharpedo-mega",319,"water","dark","generation-iii",560,2,2
"wailmer",320,"water","N/A","generation-iii",400,1,2
"wailord",321,"water","N/A","generation-iii",500,2,2
"numel",322,"fire","ground","generation-iii",305,1,2
"camerupt",323,"fire","ground","generation-iii",460,2,2
"camerupt-mega",323,"fire","ground","generation-iii",560,2,2
"torkoal",324,"fire","N/A","generation-iii",470,1,1
"spoink",325,"psychic","N/A","generation-iii",330,1,2
"grumpig",326,"psychic","N/A","generation-iii",470,2,2
"spinda",327,"normal","N/A","generation-iii",360,1,1
"trapinch",328,"ground","N/A","generation-iii",290,1,3
"vibrava",329,"ground","dragon","generation-iii",340,2,3
"flygon",330,"ground","dragon","generation-iii",520,3,3
"cacnea",331,"grass","N/A","generation-iii",335,1,2
"cacturne",332,"grass","dark","generation-iii",475,2,2
"swablu",333,"normal","flying","generation-iii",310,1,2
"altaria",334,"dragon","flying","generation-iii",490,2,2
"altaria-mega",334,"dragon","fairy","generation-iii",590,2,2
"zangoose",335,"normal","N/A","generation-iii",458,1,1
"seviper",336,"poison","N/A","generation-iii",458,1,1
"lunatone",337,"rock","psychic","generation-iii",460,1,1
"solrock",338,"rock","psychic","generation-iii",460,1,1
"barboach",339,"water","ground","generation-iii",288,1,2
"whiscash",340,"water","ground","generation-iii",468,2,2
"corphish",341,"water","N/A","generation-iii",308,1,2
"crawdaunt",342,"water","dark","generation-iii",468,2,2
"baltoy",343,"ground","psychic","generation-iii",300,1,2
"claydol",344,"ground","psychic","generation-iii",500,2,2
"lileep",345,"rock","grass","generation-iii",355,1,2
"cradily",346,"rock","grass","generation-iii",495,2,2
"anorith",347,"rock","bug","generation-iii",355,1,2
"armaldo",348,"rock","bug","generation-iii",495,2,2
"feebas",349,"water","N/A","generation-iii",200,1,2
"milotic",350,"water","N/A","generation-iii",540,2,2
"castform",351,"normal","N/A","generation-iii",420,1,1
"castform-sunny",351,"fire","N/A","generation-iii",420,1,1
"castform-rainy",351,"water","N/A","generation-iii",420,1,1
"castform-snowy",351,"ice","N/A","generation-iii",420,1,1
"kecleon",352,"normal","N/A","generation-iii",440,1,1
"shuppet",353,"ghost","N/A","generation-iii",295,1,2
"banette",354,"ghost","N/A","generation-iii",455,2,2
"banette-mega",354,"ghost","N/A","generation-iii",555,2,2
"duskull",355,"ghost","N/A","generation-iii",295,1,3
"dusclops",356,"ghost","N/A","generation-iii",455,2,3
"tropius",357,"grass","flying","generation-iii",460,1,1
"chimecho",358,"psychic","N/A","generation-iii",455,2,2
"absol",359,"dark","N/A","generation-iii",465,1,1
"absol-mega",359,"dark","N/A","generation-iii",565,1,1
"wynaut",360,"psychic","N/A","generation-iii",260,1,2
"snorunt",361,"ice","N/A","generation-iii",300,1,2
"glalie",362,"ice","N/A","generation-iii",480,2,2
"glalie-mega",362,"ice","N/A","generation-iii",580,2,2
"spheal",363,"ice","water","generation-iii",290,1,3
"sealeo",364,"ice","water","generation-iii",410,2,3
"walrein",365,"ice","water","generation-iii",530,3,3
"clamperl",366,"water","N/A","generation-iii",345,1,2
"huntail",367,"water","N/A","generation-iii",485,2,2
"gorebyss",368,"water","N/A","generation-iii",485,2,2
"relicanth",369,"water","rock","generation-iii",485,1,1
"luvdisc",370,"water","N/A","generation-iii",330,1,1
"bagon",371,"dragon","N/A","generation-iii",300,1,3
"shelgon",372,"dragon","N/A","generation-iii",420,2,3
"salamence",373,"dragon","flying","generation-iii",600,3,3
"salamence-mega",373,"dragon","flying","generation-iii",700,3,3
"beldum",374,"steel","psychic","generation-iii",300,1,3
"metang",375,"steel","psychic","generation-iii",420,2,3
"metagross",376,"steel","psychic","generation-iii",600,3,3
"metagross-mega",376,"steel","psychic","generation-iii",700,3,3
"regirock",377,"rock","N/A","generation-iii",580,1,1
"regice",378,"ice","N/A","generation-iii",580,1,1
"registeel",379,"steel","N/A","generation-iii",580,1,1
"latias",380,"dragon","psychic","generation-iii",600,1,1
"latias-mega",380,"dragon","psychic","generation-iii",700,1,1
"latios",381,"dragon","psychic","generation-iii",600,1,1
"latios-mega",381,"dragon","psychic","generation-iii",700,1,1
"kyogre",382,"water","N/A","generation-iii",670,1,1
"kyogre-primal",382,"water","N/A","generation-iii",770,1,1
"groudon",383,"ground","N/A","generation-iii",670,1,1
"groudon-primal",383,"ground","fire","generation-iii",770,1,1
"rayquaza",384,"dragon","flying","generation-iii",680,1,1
"rayquaza-mega",384,"dragon","flying","generation-iii",780,1,1
"jirachi",385,"steel","psychic","generation-iii",600,1,1
"deoxys-normal",386,"psychic","N/A","generation-iii",600,1,1
"turtwig",387,"grass","N/A","generation-iv",318,1,3
"grotle",388,"grass","N/A","generation-iv",405,2,3
"torterra",389,"grass","ground","generation-iv",525,3,3
"chimchar",390,"fire","N/A","generation-iv",309,1,3
"monferno",391,"fire","fighting","generation-iv",405,2,3
"infernape",392,"fire","fighting","generation-iv",534,3,3
"piplup",393,"water","N/A","generation-iv",314,1,3
"prinplup",394,"water","N/A","generation-iv",405,2,3
"empoleon",395,"water","steel","generation-iv",530,3,3
"starly",396,"normal","flying","generation-iv",245,1,3
"staravia",397,"normal","flying","generation-iv",340,2,3
"staraptor",398,"normal","flying","generation-iv",485,3,3
"bidoof",399,"normal","N/A","generation-iv",250,1,2
"bibarel",400,"normal","water","generation-iv",410,2,2
"kricketot",401,"bug","N/A","generation-iv",194,1,2
"kricketune",402,"bug","N/A","generation-iv",384,2,2
"shinx",403,"electric","N/A","generation-iv",263,1,3
"luxio",404,"electric","N/A","generation-iv",363,2,3
"luxray",405,"electric","N/A","generation-iv",523,3,3
"budew",406,"grass","poison","generation-iv",280,1,3
"roserade",407,"grass","poison","generation-iv",515,3,3
"cranidos",408,"rock","N/A","generation-iv",350,1,2
"rampardos",409,"rock","N/A","generation-iv",495,2,2
"shieldon",410,"rock","steel","generation-iv",350,1,2
